App,First Author (last name only),Year of Publication,Outlier,If empirical study what type?,CBT,Duration of Intervention (weeks),DepInst,DepInst2,AnxInst,AnxInst2,grp1n,ri,grp1m,grp1sd,grp2m,grp2sd,grp1md1,grp1sdd1,grp2md1,grp2sdd1,grp1manx,grp1sdanx,grp2manx,grp2sdanx,grp1md2,grp1sdd2,grp2md2,grp2sdd2,grp1manx2,grp1sdanx2,grp2manx2,grp2sdanx2,Primary Task Support Features,Dialogue Support Features,Social Support Features,Credibility Support,primpresent,dialpresent,socpresent,credpresent,total.cats,total.fx,Rate
Aptivate,Dahne 1,2019,N,Randomized controlled trial,NA,8,BDI,NA,NA,NA,22,0,32.18,9.22,18.39,12.33,32.18,9.22,18.39,12.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,0,1,1,0,0,2,6,0.863636364
BA intervention,Ly,2014,N,Randomized controlled trial,NA,8,PHQ9,BDI,NA,NA,40,0,12.53,4.43,5.83,3.85,12.53,4.43,5.83,3.85,NA,NA,NA,NA,23.5,7.85,10.89,5.92,NA,NA,NA,NA,4,2,0,3,1,1,0,1,3,9,0.9
Be Good to Yourself,Ludtke,2018,N,Randomized controlled trial,CBT,4,PHQ9,NA,NA,NA,45,0,11.61,6.14,10.23,5.56,11.61,6.14,10.23,5.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,3,1,1,0,1,3,9,0.7955
Boost Me,Stiles-Shields,2019,N,Randomized controlled trial,NA,6,PHQ9,NA,NA,NA,10,0,15.2,5.49,6.6,3.95,15.2,5.49,6.6,3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,0,1,1,0,0,2,3,1
Calm,Norton,2017,N,Nonrandomized trial,NA,4,NA,NA,GAD7,NA,15,0,10.2,5.5,5.9,3.4,NA,NA,NA,NA,10.2,5.5,5.9,3.4,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,0,1,1,0,0,2,6,0.833333333
CBMA,Enock,2014,Y,Randomized controlled trial,NA,4,NA,NA,LSAS,SIAS,158,0,74.2,23.5,57.6,30.7,NA,NA,NA,NA,74.2,23.5,57.6,30.7,NA,NA,NA,NA,43.2,8.8,33.9,13.9,2,2,0,0,1,1,0,0,2,4,0.759493671
Control,Enock,2014,Y,Randomized controlled trial,NA,4,NA,NA,LSAS,SIAS,141,0,72.8,24.3,58.2,31.3,NA,NA,NA,NA,72.8,24.3,58.2,31.3,NA,NA,NA,NA,42.1,9.7,33.4,13.9,2,2,0,0,1,1,0,0,2,4,0.737588653
El Buen Consejo Movil (EBCM),Caplan,2018,N,Nonrandomized trial,NA,4,NA,NA,NA,NA,36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,1,1,1,1,4,9,0.08
EVO,Anguera,2016,N,Nonrandomized trial,NA,4,PHQ9,NA,GAD7,NA,234,0,NA,NA,NA,NA,13.61,5.02,nopost,nopost,10.54,5.53,nopost,nopost,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,1,1,1,0,1,3,4,0.66
EVO,Pratap,2018,N,Randomized controlled trial,NA,4,PHQ9,NA,NA,NA,83,0,NA,NA,NA,NA,13.61,5.46,nopost,nopost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,1,1,1,0,1,3,4,0.5
FOCUS,Ben-Zeev,2019,N,Randomized controlled trial,NA,12,BDI,NA,NA,NA,23,0,22,11.2,19.08,12.57,22,11.2,19.08,12.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,2,1,1,0,1,3,6,0.26
Get Happy Program,Watts,2013,N,Randomized controlled trial,CBT,8,PHQ9,BDI,NA,NA,22,0,14.65,NA,6.55,NA,14.65,unknown,6.55,unknown,NA,NA,NA,NA,33.46,NA,12.53,NA,NA,NA,NA,NA,2,1,0,3,1,1,0,1,3,6,0.454545455
